"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Behavioral Health Alliance of Rural Pennsylvania ","PA","Health Plan","642","08/16/2024","Hacking/IT Incident","Email","No",""
"United Urology Group","MD","Business Associate","10704","08/14/2024","Hacking/IT Incident","Network Server","Yes",""
"University of Connecticut Health Center Finance Corporation (“UConn Health”)","CT","Healthcare Provider","500","08/13/2024","Hacking/IT Incident","Email","No",""
"Julie D. Kinsler DDS LLC dba Kinsler Family Dentistry","IN","Healthcare Provider","5500","08/12/2024","Hacking/IT Incident","Network Server","No",""
"siParadigm LLC","NJ","Healthcare Provider","501","08/09/2024","Hacking/IT Incident","Network Server","No",""
"Dental Specialists of Minnesota, PLLC dba The Dental Specialists","MN","Healthcare Provider","38442","08/09/2024","Hacking/IT Incident","Email","No",""
"Pemiscot Memorial Health System","MO","Healthcare Provider","33279","08/09/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Harborview Oral & Facial Surgery Center","MS","Healthcare Provider","3472","08/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Internal Medicine Associates, LLC d/b/a Gastrointestinal Medicine Associates","RI","Healthcare Provider","31835","08/07/2024","Hacking/IT Incident","Network Server","No",""
" Pocahontas Medical Clinic, PA","AR","Healthcare Provider","31216","08/06/2024","Hacking/IT Incident","Network Server","No",""
"Hamilton-Madison House","NY","Healthcare Provider","1114","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Calibrated Healthcare, LLC","CA","Business Associate","6890","08/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Alabama Cardiovascular Group","AL","Healthcare Provider","280534","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Wayne Memorial Hospital","GA","Healthcare Provider","2500","08/02/2024","Hacking/IT Incident","Network Server","No",""
"PRM Management Company, Inc.","FL","Healthcare Provider","500","08/02/2024","Hacking/IT Incident","Email","No",""
"Fraser Child and Family Center ","MN","Healthcare Provider","67000","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Roseland Community Hospital Association","IL","Healthcare Provider","500","08/01/2024","Hacking/IT Incident","Network Server","No",""
"Frilot L.L.C.","LA","Business Associate","501","08/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Providence Pediatrics Manito ","WA","Healthcare Provider","1166","08/01/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Special Health Resources of Texas, Inc.","TX","Healthcare Provider","500","07/30/2024","Hacking/IT Incident","Network Server","No",""
"Delta County Memorial Hospital District (Delta Health)","CO","Healthcare Provider","501","07/29/2024","Hacking/IT Incident","Network Server","No",""
