SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
010,0,0,00,United States,331464948,331526933,332048977,333271411,334914895,61985,522044,1222434,1643484,894123,3584459,3679254,3653356,852024,3438423,3456087,3148861,42099,146036,223167,504495,19886,376008,999267,1138989,0,0,0,0,19886,376008,999267,1138989,0,0,0,0,10.803463314,11.060096959,10.935141793,10.363314726,10.389241221,9.4250988735,0.4401485883,0.6708557382,1.5100429191,1.1332780299,3.0038670632,3.4091958778,0,0,0,1.1332780299,3.0038670632,3.4091958778
020,1,0,00,Northeast Region,57614141,57430477,57243423,57026847,56983517,-183664,-187054,-216576,-43330,146099,572860,588927,581516,193163,560547,563354,525863,-47064,12313,25573,55653,4432,80448,210145,225009,-131531,-276548,-450321,-323300,-127099,-196100,-240176,-98291,-9501,-3267,-1973,-692,9.9911139326,10.307615445,10.201107682,9.7763658513,9.8600274595,9.2248280165,0.2147480813,0.4475879859,0.9762796652,1.4030742828,3.6780345404,3.9471674698,-4.823207373,-7.881682611,-5.671414223,-3.42013309,-4.20364807,-1.724246754
030,1,1,00,New England,15119994,15057898,15106108,15120739,15159777,-62096,48210,14631,39038,35418,139200,144753,142522,46210,143827,149344,142818,-10792,-4627,-4591,-296,1562,26735,68504,76068,-46076,24369,-46644,-37031,-44514,51104,21860,39037,-6790,1733,-2638,297,9.2295433173,9.5777770007,9.4134459267,9.5363328067,9.8815466926,9.4329964522,-0.306789489,-0.303769692,-0.019550525,1.772642533,4.5326593277,5.0242208554,1.6157668182,-3.086263016,-2.445863208,3.3884093512,1.4463963112,2.5783576475
030,1,2,00,Middle Atlantic,42494147,42372579,42137315,41906108,41823740,-121568,-235264,-231207,-82368,110681,433660,444174,438994,146953,416720,414010,383045,-36272,16940,30164,55949,2870,53713,141641,148941,-85455,-300917,-403677,-286269,-82585,-247204,-262036,-137328,-2711,-5000,665,-989,10.262940337,10.570107312,10.485961948,9.8620405322,9.852287906,9.1495448553,0.4008998047,0.7178194063,1.3364170923,1.2711647704,3.3706623301,3.5576560464,-7.121462015,-9.60639121,-6.837919973,-5.850297244,-6.23572888,-3.280263927
020,2,0,00,Midwest Region,68987296,68969794,68850246,68783028,68909283,-17502,-119548,-67218,126255,190125,748083,753976,746365,186179,762461,771652,700527,3946,-14378,-17676,45838,3074,55313,144422,165910,-35580,-177584,-181443,-85729,-32506,-122271,-37021,80181,11058,17101,-12521,236,10.855939383,10.956304069,10.841055605,11.064588285,11.213160562,10.17525227,-0.208648902,-0.256856492,0.665803336,0.8026844282,2.0986494879,2.4098658639,-2.577041771,-2.636615329,-1.245225668,-1.774357343,-0.537965841,1.1646401955
030,2,3,00,East North Central,47369629,47345074,47187461,47098310,47146039,-24555,-157613,-89151,47729,127370,500704,503757,497398,133435,530262,537410,484782,-6065,-29558,-33653,12616,1988,37025,97108,122912,-28662,-176319,-143450,-88006,-26674,-139294,-46342,34906,8184,11239,-9156,207,10.593262944,10.685748118,10.555497603,11.218613782,11.399599204,10.287768023,-0.625350838,-0.713851086,0.2677295803,0.7833281949,2.0598654276,2.608368593,-3.730334747,-3.042876958,-1.867613304,-2.947006552,-0.98301153,0.7407552892
030,2,4,00,West North Central,21617667,21624720,21662785,21684718,21763244,7053,38065,21933,78526,62755,247379,250219,248967,52744,232199,234242,215745,10011,15180,15977,33222,1086,18288,47314,42998,-6918,-1265,-37993,2277,-5832,17023,9321,45275,2874,5862,-3365,29,11.429579968,11.544794172,11.460468503,10.728222844,10.807635217,9.9311907886,0.7013571237,0.7371589547,1.5292777139,0.8449551435,2.1830092497,1.9792873139,-0.058446427,-1.752949876,0.1048150429,0.7865087165,0.4300593739,2.0841023567
020,3,0,00,South Region,126268529,126465281,127353282,128702030,130125290,196752,888001,1348748,1423260,348216,1426585,1480366,1485069,314490,1404637,1415735,1267727,33726,21948,64631,217342,8933,155218,407229,499880,158469,715886,856381,706266,167402,871104,1263610,1206146,-4376,-5051,20507,-228,11.240982402,11.562861074,11.47536512,11.068039968,11.05804046,9.7959288069,0.1729424337,0.5048206147,1.679436313,1.2230626331,3.1807893132,3.8626525206,5.6409270586,6.6890313137,5.4574300735,6.8639896917,9.8698206269,9.3200825941
030,3,5,00,South Atlantic,66091701,66174797,66673601,67445114,68225883,83096,498804,771513,780769,172106,699224,728053,727224,168566,727717,744116,671967,3540,-28493,-16063,55257,6004,97722,254571,318731,81223,435697,517949,406986,87227,533419,772520,725717,-7671,-6122,15056,-205,10.526645568,10.856844252,10.720404745,10.955600684,11.096378309,9.9058312367,-0.428955116,-0.239534058,0.8145735083,1.4711807063,3.7962039824,4.6985871269,6.5593113136,7.7237393752,5.999602111,8.0304920199,11.519943358,10.698189238
030,3,6,00,East South Central,19402683,19424519,19471271,19573370,19700801,21836,46752,102099,127431,54199,223015,227329,227503,56557,258644,260967,231446,-2358,-35629,-33638,-3943,513,7304,18358,30865,23124,72716,115930,100512,23637,80020,134288,131377,557,2361,1449,-3,11.467307901,11.644568585,11.585375029,13.299331367,13.367621948,11.786168574,-1.832023466,-1.723053363,-0.200793544,0.3755676386,0.9403595233,1.5717709229,3.7390164848,5.9383309479,5.1184785033,4.1145841234,6.8786904712,6.6902494263
